20, 24.35, -1, 24926
20, 23.68, 0, 24933
20, 23.73, -1, 24931
20, 23.65, 0, 24936
20, 25.17, -3, 24939
20, 25.16, -3, 25235
20, 25.16, -3, 24940
20, 25.67, -3, 24941
20, 25.68, -3, 24941
20, 25.63, -3, 24939
55, 25.38, 9, 25010
55, 25.31, 9, 25011
55, 25.25, 9, 25010
55, 25.12, 9, 25009
55, 25.30, 9, 25011
55, 25.08, 9, 25010
20, 26.61, 9, 24950
20, 26.98, 8, 24950
20, 27.04, 6, 24950
20, 26.94, 8, 24949
55, 27.25, 8, 25006
55, 27.39, 8, 25010
55, 27.33, 8, 25006
55, 27.37, 8, 25008
55, 27.40, 8, 25010
55, 27.36, 3, 24988
55, 27.39, 7, 25004
55, 27.44, 8, 25010
55, 27.37, 8, 25006
55, 27.37, 8, 25006
55, 27.43, 8, 25008
55, 27.00, -2, 24940
55, 27.73, 7, 25012
55, 28.33, 7, 25004
55, 27.64, 8, 25012
55, 27.51, 7, 25011
55, 27.43, 8, 25010
55, 27.40, 8, 25010
55, 26.48, 1000, 2500443
55, 26.50, 955, 2500499
55, 26.43, 893, 2500322
55, 26.46, 923, 2500337
55, 26.46, 876, 2500262
55, 26.45, 954, 2500074
55, 26.48, 941, 2500350
55, 26.44, 922, 2500137
55, 26.49, 893, 2499881
55, 26.51, 867, 2500358
55, 26.58, 856, 2500385
55, 26.55, 801, 2500053
55, 25.89, 625, 2492880
55, 25.74, 907, 2499361
55, 25.47, 886, 2500116
55, 25.48, 831, 2499990
55, 25.50, 912, 2499827
55, 25.51, 948, 2500195
55, 25.53, 946, 2500220
55, 25.51, 897, 2500539
55, 25.45, 937, 2499963
55, 25.50, 915, 2499982
55, 25.55, 848, 2499889
55, 25.55, 840, 2500113
55, 25.52, 806, 2499888
55, 25.45, 945, 2500376
55, 25.36, 833, 2499894
55, 25.45, 868, 2500116
55, 25.40, 861, 2500047
55, 24.95, 835, 2499853
55, 24.96, 868, 2499956
55, 24.94, 887, 2499762
55, 24.89, 913, 2500207
55, 24.83, 828, 2499869
55, 24.80, 889, 2499568
55, 24.81, 818, 2499596
55, 24.85, 861, 2499811
55, 24.79, 858, 2499568
55, 24.88, 894, 2499986
55, 24.85, 863, 2499945
55, 24.83, 899, 2499854
